metric,series,x_label,x,y,unit,note
throughput_ops_sec,SET,concurrency,1,21739.1,ops/sec,
p99_latency_ms,SET,concurrency,1,0.071,ms,
throughput_ops_sec,GET,concurrency,1,20206.1,ops/sec,
p99_latency_ms,GET,concurrency,1,0.119,ms,
throughput_ops_sec,SET,concurrency,10,212766.0,ops/sec,
p99_latency_ms,SET,concurrency,10,0.087,ms,
throughput_ops_sec,GET,concurrency,10,213219.6,ops/sec,
p99_latency_ms,GET,concurrency,10,0.079,ms,
throughput_ops_sec,SET,concurrency,50,203666.0,ops/sec,
p99_latency_ms,SET,concurrency,50,0.551,ms,
throughput_ops_sec,GET,concurrency,50,215053.8,ops/sec,
p99_latency_ms,GET,concurrency,50,0.279,ms,
throughput_ops_sec,SET,concurrency,100,186915.9,ops/sec,
p99_latency_ms,SET,concurrency,100,0.495,ms,
throughput_ops_sec,GET,concurrency,100,204081.6,ops/sec,
p99_latency_ms,GET,concurrency,100,0.687,ms,
throughput_ops_sec,SET,concurrency,250,176678.5,ops/sec,
p99_latency_ms,SET,concurrency,250,1.439,ms,
throughput_ops_sec,GET,concurrency,250,166944.9,ops/sec,
p99_latency_ms,GET,concurrency,250,1.495,ms,
throughput_ops_sec,SET,concurrency,500,144092.2,ops/sec,
p99_latency_ms,SET,concurrency,500,7.999,ms,
throughput_ops_sec,GET,concurrency,500,146198.8,ops/sec,
p99_latency_ms,GET,concurrency,500,5.503,ms,
throughput_ops_sec,SET,concurrency,1000,134770.9,ops/sec,
p99_latency_ms,SET,concurrency,1000,8.879,ms,
throughput_ops_sec,GET,concurrency,1000,137551.6,ops/sec,
p99_latency_ms,GET,concurrency,1000,8.031,ms,
throughput_ops_sec,SET,concurrency,2000,126262.6,ops/sec,
p99_latency_ms,SET,concurrency,2000,21.231,ms,
throughput_ops_sec,GET,concurrency,2000,128866.0,ops/sec,
p99_latency_ms,GET,concurrency,2000,20.223,ms,
throughput_ops_sec,SET,concurrency,4000,128369.7,ops/sec,
p99_latency_ms,SET,concurrency,4000,29.599,ms,
throughput_ops_sec,GET,concurrency,4000,129366.1,ops/sec,
p99_latency_ms,GET,concurrency,4000,22.751,ms,
